Hva het den italienske vitenskapsmannen som oppfant batteriet en gang pÃ¥ 1700-tallet?,alessandro volta
I hvilket stjernebilde ligger polarstjernen?,lille bjÃ¸rn
Rundt hvilken planet i vÃ¥rt solsystem kretser de galileiske mÃ¥ner?,jupiter
"Hva slags dyr er ""Hugin og Munin""?,ravner"
Hva kaller vi gjerne en astonaut fra Russland?,kosmonaut
Hva het skipet til Boba Fett?,slave 1
Hvilken farge har shortsen til Mikke Mus?,rÃ¸d
Hva heter hesten til odin?,sleipner
Hva starter Ragnarok med?,finnbulvinteren
Hvem er sjef i Tesla?,elon musk
Hva heter statsministeren i Danmark?,mette fredriksen
Hva heter skipet til Olav Trygvasson?,ormenlange
Hvem er generalsekretær i NATO?,jens stoltenberg
,
